fast_ema,slow_ema,rsi_period,rsi_overbought,rsi_oversold,atr_period,stop_atr,take_atr,final_capital,profit
10,60,14,70,25,14,1.5,4,945.1200000000053,-54.87999999999465
10,60,14,70,30,14,1.5,4,945.1200000000053,-54.87999999999465
20,50,14,70,25,14,1.0,3,944.730000000009,-55.269999999991
20,50,14,70,30,14,1.0,3,944.730000000009,-55.269999999991
10,90,14,70,30,14,1.5,3,944.6700000000083,-55.32999999999174
10,90,14,70,25,14,1.5,3,944.6700000000083,-55.32999999999174
5,70,14,75,30,14,1.5,4,943.4300000000053,-56.56999999999471
5,70,14,75,25,14,1.5,4,943.4300000000053,-56.56999999999471
20,70,14,75,30,14,1.5,2,942.8900000000014,-57.10999999999865
20,70,14,75,25,14,1.5,2,942.8900000000014,-57.10999999999865
10,90,14,75,25,14,1.0,3,942.8200000000112,-57.17999999998881
10,90,14,75,30,14,1.0,3,942.8200000000112,-57.17999999998881
10,90,14,70,25,14,1.5,4,942.270000000006,-57.72999999999399
10,90,14,70,30,14,1.5,4,942.270000000006,-57.72999999999399
15,60,14,70,25,14,2.0,3,942.0300000000052,-57.9699999999948
15,60,14,70,30,14,2.0,3,942.0300000000052,-57.9699999999948
20,50,14,70,30,14,1.5,3,941.9600000000077,-58.03999999999235
20,50,14,70,25,14,1.5,3,941.9600000000077,-58.03999999999235
15,80,14,75,30,14,2.0,2,941.8000000000019,-58.19999999999811
15,80,14,75,25,14,2.0,2,941.8000000000019,-58.19999999999811
20,70,14,75,30,14,1.0,3,941.6300000000058,-58.36999999999421
20,70,14,75,25,14,1.0,3,941.6300000000058,-58.36999999999421
15,70,14,75,25,14,1.0,3,941.3200000000097,-58.67999999999029
15,70,14,75,30,14,1.0,3,941.3200000000097,-58.67999999999029
10,50,14,75,25,14,2.0,2,941.0500000000035,-58.94999999999652
10,50,14,75,30,14,2.0,2,941.0500000000035,-58.94999999999652
10,100,14,75,30,14,2.0,2,940.2600000000042,-59.7399999999958
10,100,14,75,25,14,2.0,2,940.2600000000042,-59.7399999999958
15,80,14,75,25,14,1.5,3,940.2500000000118,-59.74999999998818
15,80,14,75,30,14,1.5,3,940.2500000000118,-59.74999999998818
20,60,14,75,25,14,1.5,3,940.220000000013,-59.77999999998701
20,60,14,75,30,14,1.5,3,940.220000000013,-59.77999999998701
